S/N,Temperature(K)
1,298.15
2,298.15
3,298.15
4,303.15
5,303.15
6,303.15
7,308.15
8,308.15
9,308.15
10,313.15
11,313.15
12,313.15
13,318.15
14,318.15
15,318.15
16,323.15
17,323.15
18,323.15
19,328.15
20,328.15
21,328.15
22,333.15
23,333.15
24,333.15
25,338.15
26,338.15
27,338.15
28,343.15
29,343.15
30,343.15
31,348.15
32,348.15
33,348.15
34,353.15
35,353.15
36,353.15
37,358.15
38,358.15
39,358.15
40,363.15
41,363.15
42,363.15
43,368.15
44,368.15
45,368.15
46,293.15
47,293.15
48,293.15
49,293.15
50,293.15
51,293.15
52,293.15
53,313.15
54,283.15
55,283.15
56,283.15
57,283.15
58,283.15
59,283.15
60,283.15
61,283.15
62,283.15
63,283.15
64,283.15
65,283.15
66,283.15
67,283.15
68,293.15
69,293.15
70,293.15
71,293.15
72,293.15
73,293.15
74,293.15
75,293.15
76,293.15
77,293.15
78,293.15
79,293.15
80,293.15
81,293.15
82,303.15
83,303.15
84,303.15
85,303.15
86,303.15
87,303.15
88,303.15
89,303.15
90,303.15
91,303.15
92,303.15
93,303.15
94,303.15
95,303.15
96,313.15
97,313.15
98,313.15
99,313.15
100,313.15
101,313.15
102,313.15
103,313.15
104,313.15
105,313.15
106,313.15
107,313.15
108,313.15
109,313.15
110,323.15
111,323.15
112,323.15
113,323.15
114,323.15
115,323.15
116,323.15
117,323.15
118,323.15
119,323.15
120,323.15
121,323.15
122,323.15
123,323.15
124,333.15
125,333.15
126,333.15
127,333.15
128,333.15
129,333.15
130,333.15
131,333.15
132,333.15
133,333.15
134,333.15
135,333.15
136,333.15
137,333.15
138,343.15
139,343.15
140,343.15
141,343.15
142,343.15
143,343.15
144,343.15
145,343.15
146,343.15
147,343.15
148,343.15
149,343.15
150,343.15
151,343.15
152,353.15
153,353.15
154,353.15
155,353.15
156,353.15
157,353.15
158,353.15
159,353.15
160,353.15
161,353.15
162,353.15
163,353.15
164,353.15
165,353.15
166,363.15
167,363.15
168,363.15
169,363.15
170,363.15
171,363.15
172,363.15
173,363.15
174,363.15
175,363.15
176,363.15
177,363.15
178,363.15
179,363.15
180,298.15
181,298.15
182,298.15
183,298.15
184,298.15
185,298.15
186,298.15
187,298.15
188,298.15
189,298.15
190,298.15
191,303.15
192,303.15
193,303.15
194,303.15
195,303.15
196,303.15
197,303.15
198,303.15
199,303.15
200,303.15
201,303.15
202,308.15
203,308.15
204,308.15
205,308.15
206,303.15
207,308.15
208,308.15
209,308.15
210,308.15
211,308.15
212,308.15
213,313.15
214,313.15
215,313.15
216,313.15
217,313.15
218,313.15
219,313.15
220,313.15
221,313.15
222,313.15
223,313.15
224,318.15
225,318.15
226,318.15
227,318.15
228,318.15
229,318.15
230,318.15
231,318.15
232,318.15
233,318.15
234,318.15
235,323.15
236,323.15
237,323.15
238,323.15
239,323.15
240,323.15
241,323.15
242,323.15
243,323.15
244,323.15
245,323.15
246,323.15
247,328.15
248,328.15
249,328.15
250,328.15
251,328.15
252,328.15
253,328.15
254,328.15
255,328.15
256,328.15
257,333.15
258,333.15
259,333.15
260,333.15
261,333.15
262,333.15
263,333.15
264,333.15
265,333.15
266,333.15
267,333.15
268,278.15
269,280.65
270,283.15
271,285.65
272,288.15
273,290.65
274,293.15
275,295.65
276,298.15
277,300.65
278,303.15
279,305.65
280,308.15
281,310.65
282,313.15
283,315.65
284,318.15
285,320.65
286,323.15
287,325.65
288,328.15
289,330.65
290,333.15
291,335.65
292,338.15
293,278.15
294,280.65
295,283.15
296,285.65
297,288.15
298,290.65
299,293.15
300,295.65
301,298.15
302,300.65
303,303.15
304,305.65
305,308.15
306,310.65
307,313.15
308,315.65
309,318.15
310,320.65
311,323.15
312,325.65
313,328.15
314,330.65
315,333.15
316,335.65
317,338.15
318,295.15
319,295.15
320,295.15
321,295.15
322,295.15
323,295.15
324,295.15
325,308.21
326,318.22
327,328.16
328,338.16
329,348.17
330,358.1
331,368.19
332,297.9
333,302.136
334,310.608
335,319.08
336,327.621
337,336.024
338,344.496
339,352.968
